Timestamp,Please mention your gender,Age,Do you follow current fashion trends?,What is your favourite color to wear?(Any single color or color combinations),What is your favourite pattern to wear?,Which type of clothing do you buy most often?,What is your favorite clothing brand
7/11/2024 19:57,Male,25-35,No,Red and gold,Metal (Bulletproof),Iron man suit,Strak industries Nanotech suit with F.R.I.D.A.Y
7/11/2024 20:03,Female,45 and above,Yes,Black ,Stripes,Accessories,U s polo
7/11/2024 20:05,Female,15-25,Yes,Pink black and blue shade,No pattern,"T-shirts, sweaters, sweatshirts","Denim,Zara"
7/11/2024 20:05,Male,35-45,No,Purple,Stripes,Chocolate ,Willy wonkas official merchandise 
7/11/2024 20:11,Female,15-25,Yes,Black and White,No pattern,"T-shirts, sweaters, sweatshirts",Zara
7/11/2024 20:19,Female,15-25,No,Pink and baby pink,No pattern,"Dresses, skirts",Lifestyle 
7/11/2024 20:31,Female,45 and above,Yes,Marron ,No pattern,Ethnic wear,"Biba, Westside "
7/11/2024 20:31,Female,15-25,No,Light green or reddish brown,No pattern,Ethnic wear, 
7/11/2024 21:01,Male,15-25,No,White,Fur,None,Labradoodles fluffy fur
7/11/2024 21:29,Female,45 and above,Yes,Pink,Stripes,Accessories,Colors
7/11/2024 21:40,Male,15-25,No,Black and green,Random,"Trousers, shorts, jeans",none
7/11/2024 21:47,Female,15-25,Yes,anything with black,No pattern,"T-shirts, sweaters, sweatshirts",Avaasa
7/11/2024 22:29,Female,15-25,No,navy or black,No pattern,Ethnic wear,avasa
7/11/2024 22:52,Male,25-35,Yes,White,Stripes,"Trousers, shorts, jeans",Otto
7/11/2024 22:53,Male,25-35,No,Blue,Dots,"T-shirts, sweaters, sweatshirts",Van heusen
7/11/2024 22:53,Male,15-25,Yes,White,Dice,"Jackets, coats",All
7/11/2024 23:48,Female,15-25,No,"Black, blue, peach, white, pastel colours",Floral,Ethnic wear,Zudio
7/12/2024 0:42,Male,15-25,Yes,Blue. Pastel mainly.,Random.,"Trousers, shorts, jeans",Flying Machine
7/12/2024 10:05,Female,15-25,Yes,"pastel colours, black, white and denim",floral,"Trousers, shorts, jeans","Berrylush, h&m"
7/12/2024 10:15,Female,45 and above,Yes,Pink,Stripes,"Dresses, skirts",Colors
7/12/2024 10:27,Female,15-25,Yes,light colors,No pattern,"T-shirts, sweaters, sweatshirts",H&M
7/12/2024 11:20,Male,15-25,No,White,No pattern,"T-shirts, sweaters, sweatshirts",Adidas
